run_id,VARIANT_NAME,op,n_inj,channel1,shape1,amp1,k1,f1,phase1,channel2,shape2,amp2,k2,f2,phase2,period,duty,t_on,dwell,noise_ch,noise_amp,chg_t,chg_I,vref_t,vref_dV,status
D0001,MPCC_D,cc,0,,,0.0,0.0,50,0.0,,,0.0,0.0,50,0.0,0.0638507892153197,0.374504084551068,0.72558314315796,0.129351178163423,,0.0,0.0,20,0.0,0.0,OK
D0002,MPCC_D,cv,1,Vbat,step,8.13702732736593,44.6389113520265,50,0.0,,,0.0,0.0,50,0.0,0.0995502231505811,0.381859453615137,0.758830598154569,0.184073560417498,Vac,8.49734603471671,0.0,20,0.0,0.0,OK
D0003,MPCC_D_F1,cc,1,Vac,step,-20.4283445277723,124.405062162302,50,0.0,,,0.0,0.0,50,0.0,0.184443963340016,0.350234124185535,0.777706901299416,0.278589390869531,,0.0,0.954314705891059,15,0.901484339595897,-15.1850489381493,OK
D0004,MPCC_D_R,cc,2,Vdc,step,63.4791532404446,638.486654841174,50,0.0,Ibat,tri,2.14689568983289,41.0916460720381,50,0.0,0.0824134243370565,0.690509781910497,0.828703998418591,0.239545764919454,,0.0,1.08049383547141,10,0.0,0.0,OK
D0005,MPCC_P,cc,0,,,0.0,0.0,50,0.0,,,0.0,0.0,50,0.0,0.141761579435397,0.606363142592126,0.87965272698448,0.197682237758966,,0.0,0.734474552897563,5,0.0,0.0,OK
D0006,MPCC_D_R,cc,1,Iac,step,12.8278692117257,54.826859599969,50,0.0,,,0.0,0.0,50,0.0,0.139257809630936,0.511926944877129,0.660424156431312,0.121531335987194,,0.0,0.0,20,0.0,0.0,OK
D0007,CRPR,cc,1,Vdc,step,69.988250082556,278.910145227342,50,0.0,,,0.0,0.0,50,0.0,0.130774380561565,0.500448185463975,0.830866294457735,0.295597902399321,,0.0,0.779665519688597,20,0.0,0.0,OK
D0008,MPCC_D_R,cc,2,Iac,ramp,10.0894441202456,54.2891250690939,50,0.0,Vbat,sine,16.2526882103791,132.925929800513,50,350.587886832161,0.0517098206416145,0.472187527316996,0.7827139228889,0.146545665595458,,0.0,0.679613774504245,20,0.794958856941881,-11.418856895004,OK
D0009,CRPR,cc,1,Vac,step,-17.092452401764,63.3899528770747,50,0.0,,,0.0,0.0,50,0.0,0.0827838013439117,0.467403272204181,0.683457382239819,0.128422217090908,,0.0,0.964598326129442,15,0.0,0.0,OK
D0010,MPCC_D_F10,cv,1,Vbat,step,4.03181572600224,13.9824483617953,50,0.0,,,0.0,0.0,50,0.0,0.0837194968296271,0.37922514590385,0.837200970634653,0.199701402460518,Vac,7.28768246780572,1.06299835513082,15,0.0,0.0,OK
